#,יום מכירה,חודש למכור,כתובת,חדרים,"מ""ר",סכום,מגמת שינוי,שונות
138,19.09.2021,9,יטבתה,4.0,78.75,1100000.0,180% ב 20 שנים,9.0
139,19.09.2021,9,יריחו,5.0,98.0,2260000.0,53% ב 10.9 שנים,4.862385321100917
140,19.09.2021,9,סוקולוב,2.0,38.0,1270000.0,41% ב 4.5 שנים,9.11111111111111
141,19.09.2021,9,,1.0,206.0,2808000.0,,0.0
142,19.09.2021,9,,0.0,114.0,1703000.0,,0.0
143,19.09.2021,9,,0.0,229.0,2526000.0,,0.0
144,19.09.2021,9,אילת,4.0,86.0,1840092.0,,0.0
145,19.09.2021,9,,5.0,122.28,2600000.0,,0.0
146,19.09.2021,9,טרומפלדור,3.0,70.25,1550000.0,,0.0
147,19.09.2021,9,הגפן,5.0,120.0,2890000.0,,0.0
148,19.09.2021,9,,1.0,206.0,2749500.0,,0.0
149,18.09.2021,9,,1.0,114.0,1703871.0,,0.0
150,17.09.2021,9,שער ציון,3.0,56.5,1300000.0,198% ב 14.2 שנים,13.943661971830986
151,17.09.2021,9,המעפילים,3.0,55.9,1470000.0,42% ב 5.7 שנים,7.368421052631579
152,17.09.2021,9,חנקין,2.0,48.95,1100000.0,,0.0
153,15.09.2021,9,אבן גבירול,2.0,48.0,1300000.0,47% ב 10.2 שנים,4.6078431372549025
154,15.09.2021,9,"אז""ר",4.0,88.08,2000000.0,,0.0
155,14.09.2021,9,השומר,4.0,90.0,1870000.0,266% ב 19.9 שנים,13.366834170854272
156,14.09.2021,9,מנור אהוד,5.0,107.93,2720000.0,122% ב 13.8 שנים,8.840579710144928
157,14.09.2021,9,אוסישקין,3.0,58.0,1430000.0,21% ב 9.5 שנים,2.210526315789474
158,14.09.2021,9,אהרונוביץ,3.0,53.0,1615000.0,46% ב 5.3 שנים,8.679245283018869
159,14.09.2021,9,ההסתדרות,3.0,40.05,1450000.0,17% ב 2 שנים,8.5
160,14.09.2021,9,דגניה,5.0,130.0,2900000.0,,0.0
161,14.09.2021,9,,5.0,117.0,3070000.0,,0.0
162,14.09.2021,9,בית לחם,4.0,90.0,1845000.0,,0.0
163,14.09.2021,9,ברקת,4.0,98.36,2200000.0,,0.0
164,13.09.2021,9,בעל שם טוב,3.0,55.8,1520000.0,49% ב 7.5 שנים,6.533333333333333
165,13.09.2021,9,ארליך שמחה,5.0,111.3,2165000.0,29% ב 6 שנים,4.833333333333333
166,13.09.2021,9,דולפין,5.0,95.0,2125000.0,32% ב 5.6 שנים,5.714285714285714
167,13.09.2021,9,קדושי קהיר,4.0,84.06,2000000.0,,0.0
168,13.09.2021,9,בן גוריון,5.0,156.8,2780000.0,,0.0
169,13.09.2021,9,,1.0,263.0,3451500.0,,0.0
170,13.09.2021,9,הרב הרצוג,3.0,76.0,1500000.0,,0.0
171,13.09.2021,9,חסדאי,3.0,65.0,1580000.0,,0.0
172,13.09.2021,9,,5.0,118.0,3350000.0,,0.0
